5:17,5:37,5:54
6:09,6:26,6:37,6:49
7:02,7:14,7:27,7:41,7:55
8:06,8:20,8:34,8:47
9:00,9:09,9:20,9:28,9:43,9:53
10:08,10:19,10:32,10:44,10:57
11:11,11:19,11:31,11:44,11:53
12:09,12:19,12:31,12:44,12:53
13:11,13:19,13:31,13:44,13:53
14:11,14:19,14:31,14:44,14:53
15:09,15:19,15:31,15:44,15:56
16:09,16:19,16:31,16:46,16:59
17:09,17:16,17:30,17:40,17:50
18:06,18:20,18:32,18:44,18:58
19:07,19:17,19:26,19:33,19:46,19:54
20:03,20:12,20:26,20:33,20:44,20:55
21:05,21:22,21:32,21:41,21:53
22:02,22:16,22:26,22:41,22:59
23:18,23:32,23:47
00:10
